keyword_concept_en_expanded,keyword_concept_polish_expanded,keyword_semantic_expanded_id,n_records
anti-n methyl-d-aspartate receptor antibodies,anti-n methyl-d-aspartate receptor antibodies,app_sem_exp_0062,1
anomia,anomia,app_sem_exp_0060,1
animal model,animal model,app_sem_exp_0059,1
anhedonia intensity,anhedonia intensity,app_sem_exp_0058,1
anhedonia change,anhedonia change,app_sem_exp_0057,1
anesthesia,anesthesia,app_sem_exp_0054,1
analgesic suggestion,analgesic suggestion,app_sem_exp_0053,1
amyloid,amyloid,app_sem_exp_0052,1
amnesia,amnesia,app_sem_exp_0051,1
anti-semitism,anti-semitism,app_sem_exp_0063,1
attitudes towards the body and eating,postawy towards the ciało and jedzenie,app_sem_exp_0104,1
attitudes,postawy,app_sem_exp_0103,1
attitude scale,postawa skala,app_sem_exp_0102,1
attitude measurement,postawa measurement,app_sem_exp_0101,1
attenuation of pair bonding,attenuation of pair bonding,app_sem_exp_0099,1
atos,atos,app_sem_exp_0094,1
atopic dermatitis,atopic dermatitis,app_sem_exp_0093,1
athletic ideal,athletic ideal,app_sem_exp_0092,1
asthma severity,asthma severity,app_sem_exp_0091,1
applicants,applicants,app_sem_exp_0076,1
assertiveness,assertiveness,app_sem_exp_0087,1
asrq,asrq,app_sem_exp_0086,1
aspirin-induced asthma,aspirin-induced asthma,app_sem_exp_0085,1
arterial stiffness,arterial stiffness,app_sem_exp_0083,1
arrival,przyjazd,app_sem_exp_0082,1
arnold chiari malformation,arnold chiari malformation,app_sem_exp_0081,1
aripiprazole,aripiprazole,app_sem_exp_0080,1
argentine tango,argentine tango,app_sem_exp_0079,1
archive,archive,app_sem_exp_0078,1
archetype,archetype,app_sem_exp_0077,1
association,association,app_sem_exp_0089,1
withdrawal and relapse prevention treatment,withdrawal and nawrót profilaktyka leczenie,app_sem_exp_1462,1
wisconsin card sorting test,wisconsin card sorting test,app_sem_exp_1461,1
whole body cryotherapy,whole ciało cryotherapy,app_sem_exp_1460,1
white blood cells,white blood cells,app_sem_exp_1459,1
weight stigma,weight stygmatyzacja,app_sem_exp_1457,1
weight loss therapy,weight loss terapia,app_sem_exp_1456,1
weight loss,weight loss,app_sem_exp_1455,1
weight gain,weight gain,app_sem_exp_1454,1
1-year follow-up,1-year follow-up,app_sem_exp_0001,1
american psychiatric association,american psychiatryczny association,app_sem_exp_0050,1
war,war,app_sem_exp_1451,1
waiting list,waiting list,app_sem_exp_1450,1
voluntary and forced migrants,voluntary and forced migrants,app_sem_exp_1449,1
voice signals,voice signals,app_sem_exp_1448,1
voice hearing,voice hearing,app_sem_exp_1447,1
visual imaginery,visual imaginery,app_sem_exp_1446,1
agoraphobia with panic attacks,agoraphobia with panic attacks,app_sem_exp_0037,1
aa,aa,app_sem_exp_0004,1
5-ht1a receptors,5-ht1a receptors,app_sem_exp_0003,1
warsaw ghetto uprising,warsaw ghetto uprising,app_sem_exp_1452,1
alter ego,alter ego,app_sem_exp_0048,1
allience,allience,app_sem_exp_0047,1
alcoholic extract,alcoholic extract,app_sem_exp_0045,1
alcohol-exposed pregnancy,alkohol-exposed pregnancy,app_sem_exp_0044,1
alcohol withdrawal syndrome,alkohol withdrawal zespół,app_sem_exp_0043,1
alcohol psychosis,alkohol psychosis,app_sem_exp_0041,1
alcohol consumption,alkohol consumption,app_sem_exp_0040,1
alcohol,alkohol,app_sem_exp_0039,1
aids,AIDS,app_sem_exp_0038,1
woman,woman,app_sem_exp_1463,1
zataria multiflora boiss,zataria multiflora boiss,app_sem_exp_1476,1
youth mental health,youth mental health,app_sem_exp_1475,1
youth,youth,app_sem_exp_1474,1
young adults,young adults,app_sem_exp_1473,1
yoga,yoga,app_sem_exp_1472,1
xenomelia,xenomelia,app_sem_exp_1471,1
wrzesien,wrzesien,app_sem_exp_1470,1
worry,worry,app_sem_exp_1469,1
working hours,working hours,app_sem_exp_1466,1
women's mental health,women's mental health,app_sem_exp_1465,1
visegrad countries,visegrad countries,app_sem_exp_1445,1
car,car,app_sem_exp_0181,1
caq-clinical analysis questionnaire,caq-clinical analysis kwestionariusz,app_sem_exp_0180,1
capacity,capacity,app_sem_exp_0179,1
burden,burden,app_sem_exp_0175,1
buprenorphine,buprenorphine,app_sem_exp_0174,1
bulling,bulling,app_sem_exp_0173,1
broken heart,broken heart,app_sem_exp_0171,1
brief psychotic disorder,brief psychotic disorder,app_sem_exp_0170,1
brief intervention,brief intervention,app_sem_exp_0169,1
atypical gender identity development,atypical płeć identity development,app_sem_exp_0105,1
breastfeeding self-efficacy,breastfeeding self-efficacy,app_sem_exp_0167,1
breastfeeding,breastfeeding,app_sem_exp_0166,1
breast reduction surgery,breast reduction surgery,app_sem_exp_0165,1
breast cancer,rak piersi,app_sem_exp_0164,1
break up,break up,app_sem_exp_0163,1
brca2,brca2,app_sem_exp_0162,1
brca gene mutation,brca gene mutation,app_sem_exp_0160,1
brainspotting therapy,brainspotting terapia,app_sem_exp_0159,1
brain-derived neurotrophic factor (bdnf) gene,brain-derived neurotrophic czynnik (bdnf) gene,app_sem_exp_0158,1
breath-holding,breath-holding,app_sem_exp_0168,1
childbirth,childbirth,app_sem_exp_0206,1
childbearing age women,childbearing age kobiety,app_sem_exp_0205,1
child's wish for a miracle,child's wish for a miracle,app_sem_exp_0204,1
child trichotillomania,dziecko trichotillomania,app_sem_exp_0203,1
child temperament,dziecko temperament,app_sem_exp_0202,1
child psychotherapy,dziecko psychoterapia,app_sem_exp_0201,1
child and adolescent psychiatry,dziecko and adolescent psychiatria,app_sem_exp_0200,1
change in consultation frequency,change in consultation frequency,app_sem_exp_0199,1
change,change,app_sem_exp_0198,1
cardiac syndrome x,cardiac zespół x,app_sem_exp_0183,1
cerebral and cerebellar atrophy,cerebral and cerebellar atrophy,app_sem_exp_0196,1
cerebellum,cerebellum,app_sem_exp_0195,1
cerebellar,cerebellar,app_sem_exp_0194,1
cbcl score,cbcl score,app_sem_exp_0192,1
caudate nucleus,caudate nucleus,app_sem_exp_0191,1
catatonia,catatonia,app_sem_exp_0190,1
caregivers,caregivers,app_sem_exp_0188,1
caregiver,caregiver,app_sem_exp_0187,1
care relationship,care relacja,app_sem_exp_0186,1
cardiovascular risk,cardiovascular ryzyko,app_sem_exp_0185,1
cftmea,cftmea,app_sem_exp_0197,1
biid,biid,app_sem_exp_0128,1
big five,big five,app_sem_exp_0127,1
bifactor model,bifactor model,app_sem_exp_0126,1
bert hellinger,bert hellinger,app_sem_exp_0125,1
bentus,bentus,app_sem_exp_0124,1
behaviorism,behaviorism,app_sem_exp_0123,1
behavioral addictions,behawioralny addictions,app_sem_exp_0122,1
autonomous motivation,autonomous motivation,app_sem_exp_0119,1
automatic thought,automatic thought,app_sem_exp_0118,1
brain-derived,brain-derived,app_sem_exp_0157,1
autoimmune encephalitis,autoimmune encephalitis,app_sem_exp_0116,1
autoimmune disease,autoimmune choroba,app_sem_exp_0115,1
autocreation,autocreation,app_sem_exp_0114,1
autoaggresion,autoaggresion,app_sem_exp_0113,1
auto-amputation,auto-amputation,app_sem_exp_0112,1
authors index,authors index,app_sem_exp_0110,1
author's memories,author's memories,app_sem_exp_0109,1
augmentation,augmentation,app_sem_exp_0108,1
auditory hallucinations,auditory hallucinations,app_sem_exp_0107,1
audit,audit,app_sem_exp_0106,1
automatic action,automatic action,app_sem_exp_0117,1
brain-behavioral function,brain-behawioralny funkcja,app_sem_exp_0156,1
bowen's theory,bowen's theory,app_sem_exp_0155,1
borderline patients,borderline patients,app_sem_exp_0153,1
borderline functioning,borderline functioning,app_sem_exp_0152,1
body attitude test,ciało postawa test,app_sem_exp_0148,1
blood,blood,app_sem_exp_0147,1
blindness,blindness,app_sem_exp_0146,1
bleeding,bleeding,app_sem_exp_0145,1
bisexuality,bisexuality,app_sem_exp_0144,1
binging,binging,app_sem_exp_0130,1
birding,birding,app_sem_exp_0142,1
bipolar spectrum,dwubiegunowy spectrum,app_sem_exp_0141,1
bipolar mood disorder,dwubiegunowy mood zaburzenie,app_sem_exp_0140,1
bipolar affective illness,dwubiegunowy afektywny illness,app_sem_exp_0138,1
bion's theory,bion's theory,app_sem_exp_0136,1
biography,biography,app_sem_exp_0135,1
biographical narration,biographical narration,app_sem_exp_0134,1
bioethics,bioethics,app_sem_exp_0133,1
bioelectrical impedance analysis,bioelectrical impedance analysis,app_sem_exp_0132,1
bioactive compounds,bioactive compounds,app_sem_exp_0131,1
bisexual men,bisexual mężczyźni,app_sem_exp_0143,1
insulin resistance,insulin resistance,app_sem_exp_0697,1
insulin pump,insulin pump,app_sem_exp_0696,1
instinctive traits,instinctive traits,app_sem_exp_0695,1
instinct,instinct,app_sem_exp_0694,1
innovations,innovations,app_sem_exp_0692,1
inner harmony,inner harmony,app_sem_exp_0691,1
inmates,inmates,app_sem_exp_0690,1
inhibitory iu,inhibitory iu,app_sem_exp_0689,1
information resource,information resource,app_sem_exp_0688,1
drop out,drop out,app_sem_exp_0414,1
inflammation,zapalenie,app_sem_exp_0686,1
inference,inference,app_sem_exp_0685,1
infectious diseases,infectious diseases,app_sem_exp_0684,1
infants and toddlers psychotherapy,infants and toddlers psychoterapia,app_sem_exp_0683,1
infant observation,infant observation,app_sem_exp_0682,1
infant,infant,app_sem_exp_0681,1
individual memory,individual memory,app_sem_exp_0680,1
individual differences,individual differences,app_sem_exp_0679,1
individual barriers to taking medications,individual barriers to taking medications,app_sem_exp_0678,1
influx,napływ,app_sem_exp_0687,1
introject,introject,app_sem_exp_0722,1
intolerance of uncertainty,intolerance of uncertainty,app_sem_exp_0721,1
intimate partner violence,intimate partner przemoc,app_sem_exp_0720,1
intimacy in parents' families of origin,intimacy in parents' families of origin,app_sem_exp_0719,1
intimacy,intimacy,app_sem_exp_0718,1
intervention studies,intervention studies,app_sem_exp_0717,1
interpersonal relationships,interpersonal relacje,app_sem_exp_0715,1
interpersonal relational patterns,interpersonal relational patterns,app_sem_exp_0714,1
interpersonal patterns,interpersonal patterns,app_sem_exp_0713,1
integrated quantitative and qualitative research methodology,integrated quantitative and qualitative badania methodology,app_sem_exp_0698,1
internet addiction,internet uzależnienie,app_sem_exp_0710,1
internet,internet,app_sem_exp_0709,1
internal illnesses,internal illnesses,app_sem_exp_0708,1
interferon-beta,interferon-beta,app_sem_exp_0707,1
interferon,interferon,app_sem_exp_0706,1
interdisciplinary cooperation,interdisciplinary cooperation,app_sem_exp_0705,1
interceptive exposure,ekspozycja interoceptywna,app_sem_exp_0704,1
integrity analysis,integrity analysis,app_sem_exp_0702,1
integrative psychotherapy,integrative psychoterapia,app_sem_exp_0701,1
integration,integration,app_sem_exp_0699,1
interpersonal,interpersonal,app_sem_exp_0711,1
hypnoanalysis,hypnoanalysis,app_sem_exp_0650,1
hyperthyroidism,hyperthyroidism,app_sem_exp_0649,1
hyperthymic,hyperthymic,app_sem_exp_0648,1
hypertension-mediated organ damage,hypertension-mediated organ damage,app_sem_exp_0647,1
hyperprolactinemia,hyperprolactinemia,app_sem_exp_0645,1
hunger strike,hunger strike,app_sem_exp_0644,1
humor in psychotherapy,humor in psychoterapia,app_sem_exp_0642,1
human destructiveness,human destructiveness,app_sem_exp_0641,1
hrt in child trichotillomania,hrt in dziecko trichotillomania,app_sem_exp_0640,1
indigenous peoples of the north siberia,indigenous peoples of the north siberia,app_sem_exp_0677,1
hpa axis,hpa axis,app_sem_exp_0638,1
hospitalisations,hospitalisations,app_sem_exp_0636,1
hope,nadzieja,app_sem_exp_0635,1
homicide,homicide,app_sem_exp_0633,1
home care services,home care services,app_sem_exp_0632,1
hj,hj,app_sem_exp_0630,1
hiv,HIV,app_sem_exp_0629,1
history of polish psychiatry,history of polish psychiatria,app_sem_exp_0627,1
high-interval intensity training,high-interval intensity training,app_sem_exp_0626,1
hplc,hplc,app_sem_exp_0639,1
indications to the therapy,indications to the terapia,app_sem_exp_0676,1
incompetence/incapacity,incompetence/incapacity,app_sem_exp_0674,1
incest,incest,app_sem_exp_0673,1
incapacity for service,incapacity for service,app_sem_exp_0672,1
impulsiveness,impulsiveness,app_sem_exp_0670,1
impulsive and restrictive behaviors,impulsive and restrictive behaviors,app_sem_exp_0669,1
impasse,impasse,app_sem_exp_0668,1
impact of event scale-revisited,impact of event skala-revisited,app_sem_exp_0667,1
immunology,immunology,app_sem_exp_0666,1
hypochondriasis,hypochondriasis,app_sem_exp_0652,1
igfbp1-6,igfbp1-6,app_sem_exp_0664,1
igf1/2,igf1/2,app_sem_exp_0663,1
identity quest,identity quest,app_sem_exp_0662,1
identification,identification,app_sem_exp_0660,1
idealization,idealization,app_sem_exp_0659,1
icd,icd,app_sem_exp_0657,1
i do not agree,i do not agree,app_sem_exp_0656,1
i agree,i agree,app_sem_exp_0655,1
hypothyroidism,hypothyroidism,app_sem_exp_0654,1
hypomania check list-32,hypomania check list-32,app_sem_exp_0653,1
imaginary and symbolic elaboration,imaginary and symbolic elaboration,app_sem_exp_0665,1
medical commission,medical commission,app_sem_exp_0787,1
medical (clinical) psychology,medical (clinical) psychology,app_sem_exp_0786,1
mediational perspective,mediational perspective,app_sem_exp_0785,1
media,media,app_sem_exp_0784,1
mechanisms,mechanisms,app_sem_exp_0783,1
meaning systems,meaning systems,app_sem_exp_0782,1
meaning in life,sens życia,app_sem_exp_0781,1
maternal behavior,maternal behavior,app_sem_exp_0780,1
material loss,material loss,app_sem_exp_0779,1
invalidity,invalidity,app_sem_exp_0723,1
mastectomy,mastectomy,app_sem_exp_0777,1
masquerade,masquerade,app_sem_exp_0776,1
maslach burnout inventory,maslach wypalenie inventory,app_sem_exp_0775,1
marital satisfaction,marital satisfaction,app_sem_exp_0774,1
marital relations,marital relations,app_sem_exp_0773,1
marital,marital,app_sem_exp_0772,1
marijuana,marijuana,app_sem_exp_0771,1
marihuana,marihuana,app_sem_exp_0770,1
manuls,manuls,app_sem_exp_0769,1
mastery,mastery,app_sem_exp_0778,1
methodology problems,methodology problems,app_sem_exp_0819,1
methamphetamine users,methamphetamine users,app_sem_exp_0818,1
methadone,methadone,app_sem_exp_0817,1
metaphors,metaphors,app_sem_exp_0816,1
metacognitive beliefs,metacognitive beliefs,app_sem_exp_0814,1
metacognition,metacognition,app_sem_exp_0813,1
meta-analysis,meta-analysis,app_sem_exp_0811,1
mental contamination,psychiczny contamination,app_sem_exp_0806,1
men's mental health,men's mental health,app_sem_exp_0805,1
medical examination,medical examination,app_sem_exp_0789,1
memory,pamięć,app_sem_exp_0802,1
memantine,memantine,app_sem_exp_0801,1
meditation,meditation,app_sem_exp_0800,1
medical workers,medical workers,app_sem_exp_0798,1
medical stuff,medical stuff,app_sem_exp_0797,1
medical statistics,medical statistics,app_sem_exp_0795,1
medical speciality,medical speciality,app_sem_exp_0794,1
medical psychology,medical psychology,app_sem_exp_0793,1
medical outpatients,medical outpatients,app_sem_exp_0791,1
medical marihuana,medical marihuana,app_sem_exp_0790,1
memory disturbance,memory zaburzenie,app_sem_exp_0803,1
language exercises,language exercises,app_sem_exp_0744,1
language,language,app_sem_exp_0743,1
lacosamide,lacosamide,app_sem_exp_0742,1
krakow depression inventory (kid),krakow depresja inventory (kid),app_sem_exp_0741,1
22q11.2 deletion syndrome,22q11.2 deletion zespół,app_sem_exp_0002,1
kluver-bucy syndrome,kluver-bucy zespół,app_sem_exp_0738,1
kidney failure,kidney failure,app_sem_exp_0737,1
keywords: acting on delusions,keywords: acting on delusions,app_sem_exp_0736,1
keywords index,keywords index,app_sem_exp_0735,1
manipulation,manipulation,app_sem_exp_0768,1
jizz,jizz,app_sem_exp_0732,1
jews,jews,app_sem_exp_0731,1
jewish resistance,jewish resistance,app_sem_exp_0730,1
jerzy w. aleksandrowicz,jerzy w. aleksandrowicz,app_sem_exp_0729,1
iv users,iv users,app_sem_exp_0728,1
itch,itch,app_sem_exp_0727,1
irritable bowel syndrome,irritable bowel zespół,app_sem_exp_0726,1
iran,iran,app_sem_exp_0725,1
involvement,involvement,app_sem_exp_0724,1
juridical problem,juridical problem,app_sem_exp_0734,1
manganese superoxide dismutase,manganese superoxide dismutase,app_sem_exp_0767,1
major resistance,major resistance,app_sem_exp_0766,1
magnetic resonance imaging,magnetic resonance imaging,app_sem_exp_0765,1
luts,luts,app_sem_exp_0764,1
love trauma syndrome,love trauma zespół,app_sem_exp_0763,1
longitudinal two-wave study,longitudinal two-wave badanie,app_sem_exp_0762,1
long-term treatment,long-term leczenie,app_sem_exp_0761,1
long-acting injectable depot formulation,long-acting injectable depot formulation,app_sem_exp_0759,1
loneliness,samotność,app_sem_exp_0758,1
language training program,language training program,app_sem_exp_0745,1
lithuania,lithuania,app_sem_exp_0756,1
lipomatosis,lipomatosis,app_sem_exp_0755,1
lipedema,lipedema,app_sem_exp_0754,1
life satisfaction,satysfakcja z życia,app_sem_exp_0753,1
life experience,życie experience,app_sem_exp_0752,1
libido,libido,app_sem_exp_0751,1
leucotomy,leucotomy,app_sem_exp_0750,1
lesch typology,lesch typology,app_sem_exp_0749,1
left ventricular hypertrophy,left ventricular hypertrophy,app_sem_exp_0748,1
lc,lc,app_sem_exp_0746,1
locked psychiatric ward,locked psychiatryczny ward,app_sem_exp_0757,1
ethical dilemmas,ethical dilemmas,app_sem_exp_0496,1
ethical aspects,ethical aspects,app_sem_exp_0495,1
ericksonian supervision,ericksonian supervision,app_sem_exp_0494,1
ericksonian parallel process,ericksonian parallel process,app_sem_exp_0493,1
epq-r,epq-r,app_sem_exp_0492,1
epidemiology,epidemiologia,app_sem_exp_0490,1
engagement,engagement,app_sem_exp_0487,1
endurance training,endurance training,app_sem_exp_0486,1
ems,ems,app_sem_exp_0485,1
high sensitive c-reactive protein,high sensitive c-reactive protein,app_sem_exp_0625,1
emotional symptom,emocjonalny objaw,app_sem_exp_0481,1
emotional state,emocjonalny state,app_sem_exp_0480,1
emotional regulation,emocjonalny regulacja,app_sem_exp_0479,1
emotional reaction,reakcja emocjonalna,app_sem_exp_0478,1
emotional processes,emocjonalny processes,app_sem_exp_0477,1
emotional labour,emocjonalny labour,app_sem_exp_0476,1
emotional injury ocd,emocjonalny injury ocd,app_sem_exp_0473,1
emotional eating,emocjonalny jedzenie,app_sem_exp_0472,1
emotional disposition,emocjonalny disposition,app_sem_exp_0471,1
empathy_,empathy_,app_sem_exp_0484,1
faecaloma,faecaloma,app_sem_exp_0520,1
faecal impaction,faecal impaction,app_sem_exp_0519,1
factors of compliance with the treatment regimen,czynniki of compliance with the leczenie regimen,app_sem_exp_0518,1
factor analysis,czynnik analysis,app_sem_exp_0517,1
factor analyses,czynnik analyses,app_sem_exp_0516,1
face-to-face therapy,face-to-face terapia,app_sem_exp_0513,1
eye movement desensitization and reprocessing,eye movement desensitization and reprocessing,app_sem_exp_0512,1
extreme sports,extreme sports,app_sem_exp_0511,1
externalizing behaviors,externalizing behaviors,app_sem_exp_0510,1
ethical issues,ethical issues,app_sem_exp_0497,1
exploratory study,exploratory badanie,app_sem_exp_0508,1
exploratory factor analysis,exploratory czynnik analysis,app_sem_exp_0507,1
experiencing scale,experiencing skala,app_sem_exp_0506,1
experience of values,experience of values,app_sem_exp_0505,1
experience,experience,app_sem_exp_0504,1
existential cognitive-behavioral therapy,existential poznawczy-behawioralny terapia,app_sem_exp_0503,1
exhaustion,exhaustion,app_sem_exp_0502,1
evolution,evolution,app_sem_exp_0500,1
evidence,evidence,app_sem_exp_0499,1
ethics,ethics,app_sem_exp_0498,1
exposure therapy,exposure terapia,app_sem_exp_0509,1
eating behaviors,jedzenie behaviors,app_sem_exp_0439,1
eating,jedzenie,app_sem_exp_0437,1
east european psychiatrists,psychiatrzy z Europy Wschodniej,app_sem_exp_0435,1
east azerbaijian,east azerbaijian,app_sem_exp_0434,1
eartquake victims,eartquake victims,app_sem_exp_0433,1
early retirement,early retirement,app_sem_exp_0432,1
early intervention,wczesna interwencja,app_sem_exp_0430,1
e-learning,e-learning,app_sem_exp_0428,1
dysphoria,dysphoria,app_sem_exp_0427,1
emotional disorder,emocjonalny zaburzenie,app_sem_exp_0470,1
dysfunctional beliefs,dysfunctional beliefs,app_sem_exp_0425,1
dyscalculia,dyscalculia,app_sem_exp_0423,1
dynamic psychiatry,dynamic psychiatria,app_sem_exp_0422,1
dsm5,dsm5,app_sem_exp_0420,1
dsm-5,dsm-5,app_sem_exp_0419,1
dsm,dsm,app_sem_exp_0418,1
dryness of mouth,dryness of mouth,app_sem_exp_0417,1
drug,lek,app_sem_exp_0416,1
drop-out,drop-out,app_sem_exp_0415,1
dysorthography,dysorthography,app_sem_exp_0426,1
emotional development,emocjonalny development,app_sem_exp_0469,1
emotional abuse,emocjonalny abuse,app_sem_exp_0468,1
emotion-focused coping,emocja-focused radzenie sobie,app_sem_exp_0467,1
emotion focused training for emotion of self-compassion and self-protection,emocja focused training for emocja of ja-compassion and ja-protection,app_sem_exp_0464,1
emergency medicine residents,emergency medicine residents,app_sem_exp_0463,1
emergencies,emergencies,app_sem_exp_0462,1
electronic communication,electronic communication,app_sem_exp_0461,1
electrodermal activity,electrodermal activity,app_sem_exp_0460,1
egypt,egypt,app_sem_exp_0457,1
eating habits,jedzenie habits,app_sem_exp_0441,1
ego,ego,app_sem_exp_0454,1
efficacy profile,skuteczność profile,app_sem_exp_0453,1
effective counselor,effective counselor,app_sem_exp_0451,1
eeg-biofeedback,eeg-biofeedback,app_sem_exp_0450,1
editorial editorial 1,editorial editorial 1,app_sem_exp_0447,1
ect,ect,app_sem_exp_0446,1
ecological perception,ecological perception,app_sem_exp_0445,1
ecological anxiety,ecological lęk,app_sem_exp_0444,1
eclecticism,eclecticism,app_sem_exp_0443,1
eating styles,jedzenie styles,app_sem_exp_0442,1
egocentric,egocentric,app_sem_exp_0455,1
guided discovery,guided discovery,app_sem_exp_0598,1
gsdsii,gsdsii,app_sem_exp_0597,1
growth resources model,growth resources model,app_sem_exp_0596,1
group process,group process,app_sem_exp_0593,1
grounded theory methodology,grounded theory methodology,app_sem_exp_0592,1
grandparents,grandparents,app_sem_exp_0591,1
glycine,glycine,app_sem_exp_0590,1
glutamic acid,glutamic acid,app_sem_exp_0589,1
gingivitis,gingivitis,app_sem_exp_0588,1
fahr's syndrome,fahr's zespół,app_sem_exp_0521,1
gh,gh,app_sem_exp_0586,1
gg,gg,app_sem_exp_0585,1
gestational diabetes,gestational diabetes,app_sem_exp_0584,1
genes,genes,app_sem_exp_0582,1
general self-efficacy,general self-efficacy,app_sem_exp_0581,1
general factor specification,general czynnik specification,app_sem_exp_0580,1
gene-environment interaction,gene-environment interaction,app_sem_exp_0579,1
gene polymorphism,gene polymorphism,app_sem_exp_0578,1
gene mutation,gene mutation,app_sem_exp_0577,1
giftedness,giftedness,app_sem_exp_0587,1
hh,hh,app_sem_exp_0624,1
hepatitis c,hepatitis c,app_sem_exp_0623,1
hemodialysis,hemodialysis,app_sem_exp_0622,1
helplessness,helplessness,app_sem_exp_0621,1
heart transplantation,heart transplantation,app_sem_exp_0620,1
healthy subjects,healthy subjects,app_sem_exp_0618,1
healthcare professionals,healthcare professionals,app_sem_exp_0617,1
health-related behavior,zdrowie-related behavior,app_sem_exp_0616,1
health workers,zdrowie workers,app_sem_exp_0615,1
guided mastery,kierowane opanowanie,app_sem_exp_0599,1
health care workers (hcws),zdrowie care workers (hcws),app_sem_exp_0613,1
health care workers,zdrowie care workers,app_sem_exp_0612,1
health care providers,zdrowie care providers,app_sem_exp_0611,1
health 2.0,zdrowie 2.0,app_sem_exp_0609,1
health,zdrowie,app_sem_exp_0608,1
hashimoto's disease,hashimoto's choroba,app_sem_exp_0607,1
harm reduction,harm reduction,app_sem_exp_0606,1
haplotype,haplotype,app_sem_exp_0605,1
hallucinogenic space,hallucinogenic space,app_sem_exp_0604,1
guided self-management program for patients,guided ja-management program for patients,app_sem_exp_0600,1
health food,zdrowie food,app_sem_exp_0614,1
five-factor model of personality,five-czynnik model of osobowość,app_sem_exp_0547,1
fitness,fitness,app_sem_exp_0546,1
first-person account,first-person account,app_sem_exp_0545,1
first-episode psychosis,first-episode psychosis,app_sem_exp_0544,1
first psychosis,first psychosis,app_sem_exp_0541,1
first person account,first person account,app_sem_exp_0540,1
firefighters,firefighters,app_sem_exp_0539,1
figure rating scale,figure rating skala,app_sem_exp_0538,1
fidelity,fidelity,app_sem_exp_0537,1
gene,gene,app_sem_exp_0576,1
fetal alcohol syndrome,fetal alkohol zespół,app_sem_exp_0534,1
females without mental disturbance,females without psychiczny zaburzenie,app_sem_exp_0533,1
fanaticism,fanaticism,app_sem_exp_0531,1
family practice,rodzina practice,app_sem_exp_0528,1
family history,rodzina history,app_sem_exp_0527,1
family genogram interview,rodzina genogram interview,app_sem_exp_0526,1
family consultation,rodzina consultation,app_sem_exp_0525,1
family constellations,rodzina constellations,app_sem_exp_0524,1
family caregivers,rodzina caregivers,app_sem_exp_0523,1
failure,failure,app_sem_exp_0522,1
fg,fg,app_sem_exp_0535,1
gender variance,płeć variance,app_sem_exp_0575,1
gender role conflict,płeć role conflict,app_sem_exp_0574,1
gender identity in childhood,płeć identity in childhood,app_sem_exp_0573,1
gender dysphoria in children,płeć dysphoria in dzieci,app_sem_exp_0572,1
gender difference,płeć difference,app_sem_exp_0571,1
gay,gay,app_sem_exp_0569,1
galvanic skin response,galvanic skin response,app_sem_exp_0568,1
fuzzy promethee,fuzzy promethee,app_sem_exp_0567,1
frontal lobe syndrome,frontal lobe zespół,app_sem_exp_0565,1
fkbp5,fkbp5,app_sem_exp_0548,1
frequency of comsumption of products,frequency of comsumption of products,app_sem_exp_0562,1
free association,free association,app_sem_exp_0561,1
foster care,foster care,app_sem_exp_0560,1
forensic psychiatry,psychiatria sądowa,app_sem_exp_0558,1
forcible feeding,forcible feeding,app_sem_exp_0557,1
forced treatment,forced leczenie,app_sem_exp_0556,1
for authors,for authors,app_sem_exp_0555,1
food restriction,food restriction,app_sem_exp_0554,1
follow-up,follow-up,app_sem_exp_0552,1
fmri,fmri,app_sem_exp_0551,1
freud,freud,app_sem_exp_0563,1
