keyword_concept_polish_final,keyword_concept_polish_3d_aggregated,semantic_3d_action,semantic_3d_confidence,n_records,n_articles,example_raw_keywords
demographic czynnik,"ryzyko, czynniki ochronne i predyktory",topic_family_aggregation,high,1,1,demographic factors
determinants of zdrowie,"ryzyko, czynniki ochronne i predyktory",topic_family_aggregation,high,1,1,determinants of health
kliniczny factor,"ryzyko, czynniki ochronne i predyktory",topic_family_aggregation,high,1,1,clinical factors
kliniczny high risk,"ryzyko, czynniki ochronne i predyktory",topic_family_aggregation,high,1,1,clinical high risk
predyktory,"ryzyko, czynniki ochronne i predyktory",topic_family_aggregation,high,1,1,predictors
psychologiczny predictors,"ryzyko, czynniki ochronne i predyktory",topic_family_aggregation,high,1,1,psychological predictors
ryzyko,"ryzyko, czynniki ochronne i predyktory",topic_family_aggregation,high,1,1,risk
ryzyko behaviors,"ryzyko, czynniki ochronne i predyktory",topic_family_aggregation,high,1,1,risk behaviours
ryzyko managment,"ryzyko, czynniki ochronne i predyktory",topic_family_aggregation,high,1,1,risk managment
vascular czynnik,"ryzyko, czynniki ochronne i predyktory",topic_family_aggregation,high,1,1,vascular factors
samobójczość,samobójczość i autoagresja,topic_family_aggregation,high,23,13,Suicide ideation | attempted suicide | non suicidal self-injury | self-harm | suicidal behaviour | suicidal thoughts | suicide | suicide attempt | suicide attempts
samouszkodzenia i autoagresja,samobójczość i autoagresja,topic_family_aggregation,high,3,3,NSSI | deliberate self-harm | self-mutilation
autoaggresion,samobójczość i autoagresja,topic_family_aggregation,high,1,1,autoaggresion
self-harming,samobójczość i autoagresja,topic_family_aggregation,high,1,1,self-harming
samoocena,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,6,6,self-esteem
agresja,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,5,5,aggression
poczucie własnej skuteczności,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,5,5,self-efficacy
interpretacja,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,4,4,interpretation
adopcja,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,3,3,adoption
ekspresja mimiczna,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,3,3,facial expression
motywacja,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,3,3,Motivation | motivation
self-obraz,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,3,3,self-image
deportacja,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,2,2,deportation
detekcja sygnału,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,2,2,signal detection
hospitalizacja,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,2,2,hospitalization
rozbieżność Ja,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,2,2,self-discrepancy
samokrytycyzm,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,2,2,self-criticism
samowspółczucie,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,2,2,self-compassion
tożsamość,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,2,2,identity
adequacy of percepcja,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,adequacy of perception
adoption tożsamość,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,adoption identity
ecological percepcja,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,ecological perception
ekspozycja interoceptywna,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,interceptive exposure
hamująca nietolerancja niepewności,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,inhibitory IU
integracja,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,integration
koherencja,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,coherence
motywacja do ćwiczeń,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,motivation to exercise
nietolerancja niepewności,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,Intolerance of uncertainty
organizacja,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,organization
percepcja,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,perception
percepcja of agresja,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,perception of aggression
poczucie of self,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,sense of self
populacja norms,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,population norms
populacja wojskowa,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,military population
propriocepcja,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,proprioception
przedłużona ekspozycja,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,Prolonged Exposure
self,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,self
self obraz,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,self image
self percepcja,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,self perception
self-agresja,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,self-aggression
self-evaluation,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,self-evaluation
self-motivation,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,self-motivation
self-percepcja,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,self-perception
self-report,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,self-report
self-starvation,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,self-starvation
sense of bodily tożsamość,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,sense of bodily identity
tożsamość quest,"samoocena, tożsamość i obraz siebie",topic_family_aggregation,high,1,1,identity quest
schizofrenia i zaburzenia psychotyczne,schizofrenia i zaburzenia psychotyczne,topic_family_aggregation,high,120,97,"Changes in inflammatory parameters and antioxidants and their impact on clinical symptoms, including cognitive functions, in patients with schizophrenia - scoping review | Creativity and schizophrenia: a literature review of the problem | Effect of schizophrenia and substance use disorder on depressive symptoms and stressful life events | First Episode Schizophrenia | Recovery of patients with schizophrenia diagnosis in a day rehabilitation psychiatric ward | Schizophrenia | Sensory thresholds and the sense of bodily identity in schizophrenia | alcohol psychosis | brief psychotic disorder | chronic schizophrenia"
depresja i zaburzenia depresyjne,schizofrenia i zaburzenia psychotyczne,topic_family_aggregation,high,101,96,Depressed mood | Depressin | Depression | Depressive disorder | Krakow Depression Inventory (KID) | Treatment resistant bipolar depression | adolescent depression | anxiety and depressive disorders | child depression | depression
farmakoterapia i leki psychotropowe,schizofrenia i zaburzenia psychotyczne,topic_family_aggregation,high,24,22,Antidepressant | antipshychotics | antipsychotic | antipsychotic agents | antipsychotics | clozapine | medication adherence | paroxetine | pharmacotherapy | problems of drug therapy
osobowość i zaburzenia osobowości,schizofrenia i zaburzenia psychotyczne,topic_family_aggregation,high,24,21,BPD | Borderline Personality Disorder | Personality Disorders | antisocial personality disorder / borderline personality disorder | borderline personality disorder | narcissism | personality disorder | personality disorders | personality traits | personality traits changes
psychosomatic zaburzenie,schizofrenia i zaburzenia psychotyczne,topic_family_aggregation,high,3,3,Psychosomatic disorder | psychosomatic disorders
biopsychospołeczny,schizofrenia i zaburzenia psychotyczne,topic_family_aggregation,high,2,2,biopsychosocial
urojenie,schizofrenia i zaburzenia psychotyczne,topic_family_aggregation,high,2,2,delusions
PANSS,schizofrenia i zaburzenia psychotyczne,topic_family_aggregation,high,1,1,PANSS
auditory hallucinations,schizofrenia i zaburzenia psychotyczne,topic_family_aggregation,high,1,1,auditory hallucinations
fenomenologia urojenia,schizofrenia i zaburzenia psychotyczne,topic_family_aggregation,high,1,1,phenomenology of delusion
hallucinogenic space,schizofrenia i zaburzenia psychotyczne,topic_family_aggregation,high,1,1,hallucinogenic space
modele urojeń,schizofrenia i zaburzenia psychotyczne,topic_family_aggregation,high,1,1,models of delusions
psychosocial funkcjonowanie,schizofrenia i zaburzenia psychotyczne,topic_family_aggregation,high,1,1,psychosocial functioning
psychosocial wsparcie,schizofrenia i zaburzenia psychotyczne,topic_family_aggregation,high,1,1,Psychosocial support
psychosocial wsparcie for refugees,schizofrenia i zaburzenia psychotyczne,topic_family_aggregation,high,1,1,psychosocial support for refugees
psychosomatic objaw,schizofrenia i zaburzenia psychotyczne,topic_family_aggregation,high,1,1,psychosomatic symptoms
psychosomatic terapia,schizofrenia i zaburzenia psychotyczne,topic_family_aggregation,high,1,1,Psychosomatic therapy
psychospołeczny impact,schizofrenia i zaburzenia psychotyczne,topic_family_aggregation,high,1,1,Psychosocial Impact
psychosurgery,schizofrenia i zaburzenia psychotyczne,topic_family_aggregation,high,1,1,psychosurgery
psychotyczny studies,schizofrenia i zaburzenia psychotyczne,topic_family_aggregation,high,1,1,psychotic studies
schizotypy,schizofrenia i zaburzenia psychotyczne,topic_family_aggregation,high,1,1,schizotypy
słowa kluczowe: działanie pod wpływem urojeń,schizofrenia i zaburzenia psychotyczne,topic_family_aggregation,high,1,1,Keywords: Acting on delusions
urojenie-proneness,schizofrenia i zaburzenia psychotyczne,topic_family_aggregation,high,1,1,delusion-proneness
homoseksualność,seksualność i orientacja seksualna,topic_family_aggregation,high,3,3,homosexuality
starzenie się i osoby starsze,starzenie się i osoby starsze,topic_family_aggregation,high,13,12,Alzheimer's disease | Elderly | dementia | dementia of the Alzheimer type | older workers | the elderly
radzenie sobie,stres i radzenie sobie,topic_family_aggregation,high,5,5,coping
rezyliencja,stres i radzenie sobie,topic_family_aggregation,high,3,3,resilience
styl radzenia sobie,stres i radzenie sobie,topic_family_aggregation,high,3,3,coping styles
adaptacja,stres i radzenie sobie,topic_family_aggregation,high,2,2,adaptation
wczesne schematy dezadaptacyjne,stres i radzenie sobie,topic_family_aggregation,high,2,2,early maladaptive schemas
coping pathophysiology,stres i radzenie sobie,topic_family_aggregation,high,1,1,coping pathophysiology
coping wzorce,stres i radzenie sobie,topic_family_aggregation,high,1,1,coping patterns
emocja-focused coping,stres i radzenie sobie,topic_family_aggregation,high,1,1,emotion-focused coping
psychologiczny hardiness,stres i radzenie sobie,topic_family_aggregation,high,1,1,psychological hardiness
religious coping,stres i radzenie sobie,topic_family_aggregation,high,1,1,religious coping
Instagram,technologie cyfrowe i internet,topic_family_aggregation,high,2,2,Instagram
computer-assisted obraz processing,technologie cyfrowe i internet,topic_family_aggregation,high,2,2,computer-assisted image processing
online,technologie cyfrowe i internet,topic_family_aggregation,high,2,2,Online | online
computer,technologie cyfrowe i internet,topic_family_aggregation,high,1,1,computer
e-dzienniczki online,technologie cyfrowe i internet,topic_family_aggregation,high,1,1,online e-diaries
internet,technologie cyfrowe i internet,topic_family_aggregation,high,1,1,Internet
online terapia,technologie cyfrowe i internet,topic_family_aggregation,high,1,1,online therapy
pomoc online,technologie cyfrowe i internet,topic_family_aggregation,high,1,1,Online Help
problematic internet używanie,technologie cyfrowe i internet,topic_family_aggregation,high,1,1,problematic Internet use
telefon komórkowy,technologie cyfrowe i internet,topic_family_aggregation,high,1,1,mobile phone
thendency to computer games,technologie cyfrowe i internet,topic_family_aggregation,high,1,1,thendency to computer games
terapia poznawczo-behawioralna,terapia poznawczo-behawioralna i terapie trzeciej fali,topic_family_aggregation,high,11,9,CBT | cognitive behavioral therapy | cognitive behaviour therapy | cognitive behavioural therapy | cognitive- behavioral therapy | cognitive-behavioral therapy
uważność,terapia poznawczo-behawioralna i terapie trzeciej fali,topic_family_aggregation,high,3,3,Mindfulness | mindfulness
acceptance and commitment terapia,terapia poznawczo-behawioralna i terapie trzeciej fali,topic_family_aggregation,high,1,1,acceptance and commitment therapy
contact centre,terapia poznawczo-behawioralna i terapie trzeciej fali,topic_family_aggregation,high,1,1,Contact Centre
contact with the pacjent,terapia poznawczo-behawioralna i terapie trzeciej fali,topic_family_aggregation,high,1,1,contact with the patient
dialectical zachowanie therapydbt,terapia poznawczo-behawioralna i terapie trzeciej fali,topic_family_aggregation,high,1,1,dialectical behavior therapyDBT
existential poznawczy-behavioral terapia,terapia poznawczo-behawioralna i terapie trzeciej fali,topic_family_aggregation,high,1,1,existential cognitive-behavioral therapy
psychoedukacja,"terapia rodzinna, systemowa i grupowa",topic_family_aggregation,high,5,5,psychoeduation | psychoeducation
group terapia,"terapia rodzinna, systemowa i grupowa",topic_family_aggregation,high,3,3,group therapy
couple terapia,"terapia rodzinna, systemowa i grupowa",topic_family_aggregation,high,1,1,couple therapy
stres i radzenie sobie,"trauma, PTSD i zaburzenia stresowe",topic_family_aggregation,high,53,41,Economic stresses | Health and family stresses | Sexual Minority Stress Scale (SMSS) | Social stresses | Stress | chronic stress | coping strategies | coping with stress | diabetes distress | environmental stressors
trauma i doświadczenia traumatyczne,"trauma, PTSD i zaburzenia stresowe",topic_family_aggregation,high,48,37,Biographic traumata | Complex-PTSD | Love Trauma Syndrome | PTSD | Posttraumatic Stress Disorder (PTSD) | Traumatic lower limb surgery | childhood trauma | chronic trauma | cognitive processing of trauma | cognitive trauma processing
skuteczność,"wyniki leczenia, skuteczność i rokowanie",topic_family_aggregation,high,5,5,effectiveness | effectivness
zdrowienie,"wyniki leczenia, skuteczność i rokowanie",topic_family_aggregation,high,3,3,recovery
zdrowienie z niepełnosprawności psychiatrycznej,"wyniki leczenia, skuteczność i rokowanie",topic_family_aggregation,high,3,3,Recovery from Psychiatric Disability | recovery from psychiatric disability
cost skuteczność,"wyniki leczenia, skuteczność i rokowanie",topic_family_aggregation,high,1,1,cost effectiveness
objaw improvement,"wyniki leczenia, skuteczność i rokowanie",topic_family_aggregation,high,1,1,symptom improvement
skuteczność profile,"wyniki leczenia, skuteczność i rokowanie",topic_family_aggregation,high,1,1,efficacy profile
dissociation,zaburzenia dysocjacyjne i somatoformiczne,topic_family_aggregation,high,1,1,dissociation
somatoform,zaburzenia dysocjacyjne i somatoformiczne,topic_family_aggregation,high,1,1,somatoform
somatoform zaburzenie,zaburzenia dysocjacyjne i somatoformiczne,topic_family_aggregation,high,1,1,somatoform disorder
funkcjonowanie poznawcze,zaburzenia neurorozwojowe i autyzm,topic_family_aggregation,high,40,34,: Attention deficit hyperactivity disorder | ADHD | Cognitive Impairment in AUD | Cognitive function | adult attention deficit hyperactivity disorder | cognition | cognitive deficits | cognitive dysfunctions | cognitive function | cognitive functioning
zaburzenie ze spektrum autyzmu,zaburzenia neurorozwojowe i autyzm,topic_family_aggregation,high,6,6,Autism Spectrum Disorders | autism | autism spectrum | autism spectrum disorders | autism_
developmental dyslexia,zaburzenia neurorozwojowe i autyzm,topic_family_aggregation,high,1,1,developmental dyslexia
hipoteza neurorozwojowa,zaburzenia neurorozwojowe i autyzm,topic_family_aggregation,high,1,1,neurodevelopmental hypothesis
zaburzenia odżywiania,zaburzenia odżywiania i obraz ciała,topic_family_aggregation,high,55,47,anorexia | anorexia nervosa | binge eating disorder (BED) | bulimia | bulimia nervosa | disordered eating | eating disorder symptoms | eating disorders | eating disorders awareness | eating disorders predictors
obraz ciała i postawy wobec ciała,zaburzenia odżywiania i obraz ciała,topic_family_aggregation,high,22,17,Body Attitude Test | Body image concern | body attitudes | body dissatisfaction | body esteem | body image | body image disturbance | body image perception | body mass index | body percept
eating postawa,zaburzenia odżywiania i obraz ciała,topic_family_aggregation,high,3,3,eating attitude | eating attitudes
skład ciała,zaburzenia odżywiania i obraz ciała,topic_family_aggregation,high,2,2,Body Composition
diabulimia,zaburzenia odżywiania i obraz ciała,topic_family_aggregation,high,1,1,diabulimia
postawy towards the ciało and jedzenie,zaburzenia odżywiania i obraz ciała,topic_family_aggregation,high,1,1,attitudes towards the body and eating
prawidłowa masa ciała,zaburzenia odżywiania i obraz ciała,topic_family_aggregation,high,1,1,normal weight
whole ciało cryotherapy,zaburzenia odżywiania i obraz ciała,topic_family_aggregation,high,1,1,whole body cryotherapy
psychoterapia,zaburzenia osobowości i cechy osobowości,topic_family_aggregation,high,96,84,Psychotherapy | Psychotherapy integration | The Code of Ethics for Psychotherapists | arts psychotherapies | arts psychotherapy | child psychotherapy | cognitive psychotherapy | diagnosis applied in psychotherapy | duration of psychotherapy | evaluation of psychotherapy treatment
"dzieci, adolescenci i rodzina",zaburzenia osobowości i cechy osobowości,topic_family_aggregation,high,68,57,Adolescence | Adolescents | Family Genogram Interview | Family practice | HRT in child trichotillomania | Nuclear Family Functioning Scale | adolescence | adolescent | adolescent girls | adolescent ward
osobowość,zaburzenia osobowości i cechy osobowości,topic_family_aggregation,high,9,9,personality
cecha temperamentu,zaburzenia osobowości i cechy osobowości,topic_family_aggregation,high,2,2,temperamental traits
neurotyczność,zaburzenia osobowości i cechy osobowości,topic_family_aggregation,high,2,2,neuroticism
temperament,zaburzenia osobowości i cechy osobowości,topic_family_aggregation,high,2,2,temperament
affective temperaments,zaburzenia osobowości i cechy osobowości,topic_family_aggregation,high,1,1,affective temperaments
antisocial zaburzenie,zaburzenia osobowości i cechy osobowości,topic_family_aggregation,high,1,1,antisocial disorders
big five,zaburzenia osobowości i cechy osobowości,topic_family_aggregation,high,1,1,Big Five
borderline funkcjonowanie,zaburzenia osobowości i cechy osobowości,topic_family_aggregation,high,1,1,borderline functioning
borderline pacjenci,zaburzenia osobowości i cechy osobowości,topic_family_aggregation,high,1,1,borderline patients
dark side of osobowość,zaburzenia osobowości i cechy osobowości,topic_family_aggregation,high,1,1,dark side of personality
five-czynnik model of osobowość,zaburzenia osobowości i cechy osobowości,topic_family_aggregation,high,1,1,five-factor model of personality
nerwicowy osobowość,zaburzenia osobowości i cechy osobowości,topic_family_aggregation,high,1,1,neurotic personality
osobowość system interactions-psi,zaburzenia osobowości i cechy osobowości,topic_family_aggregation,high,1,1,Personality System Interactions - PSI
osobowość tests,zaburzenia osobowości i cechy osobowości,topic_family_aggregation,high,1,1,personality tests
osobowość types,zaburzenia osobowości i cechy osobowości,topic_family_aggregation,high,1,1,personality types
regulatory theory of temperament,zaburzenia osobowości i cechy osobowości,topic_family_aggregation,high,1,1,Regulatory Theory of Temperament
temperament and character,zaburzenia osobowości i cechy osobowości,topic_family_aggregation,high,1,1,temperament and character
the big five osobowość czynnik,zaburzenia osobowości i cechy osobowości,topic_family_aggregation,high,1,1,The big five personality factors
libido,zaburzenia seksualne i seksualność kliniczna,topic_family_aggregation,high,1,1,libido
sen i zaburzenia snu,zaburzenia snu,topic_family_aggregation,high,12,9,REM sleep | REM sleep behaviour disorder | nightmare sufferers | parasomnia | sleep apnea | sleep disorder | sleep disorders | sleep disturbance | sleep disturbances | sleep paralysis
"płeć, seksualność i tożsamość płciowa",zaburzenia używania substancji i uzależnienia,topic_family_aggregation,high,38,32,atypical gender identity development | convicted sexual offenders | gender | gender difference | gender identity | gender identity in childhood | gender role conflict | gender variance | psychological gender | risky sexual behavior
zaburzenia używania substancji i uzależnienia,zaburzenia używania substancji i uzależnienia,topic_family_aggregation,high,16,16,Addiction Severity | Opioid Stabilization | addiction to mobile phone | cannabis | drug addiction | internet addiction | obsessive compulsive symptoms and symptoms of psychoactive substance use | social media addiction | substance abuse | substance use disorder
zaburzenie używania alkoholu,zaburzenia używania substancji i uzależnienia,topic_family_aggregation,high,16,14,Alcohol Use Disorder | alcohol abuse | alcohol addiction | alcohol dependence | alcohol use disorder | alcohol use disorders | alcohol-addiction | alcoholism | alcoholism morbidity rate
uzależnienie,zaburzenia używania substancji i uzależnienia,topic_family_aggregation,high,3,3,dependence
nadużycie,zaburzenia używania substancji i uzależnienia,topic_family_aggregation,high,2,2,abuse
addicts,zaburzenia używania substancji i uzależnienia,topic_family_aggregation,high,1,1,addicts
alcohol,zaburzenia używania substancji i uzależnienia,topic_family_aggregation,high,1,1,alcohol
alcohol consumption,zaburzenia używania substancji i uzależnienia,topic_family_aggregation,high,1,1,alcohol consumption
alcohol-exposed pregnancy,zaburzenia używania substancji i uzależnienia,topic_family_aggregation,high,1,1,alcohol-exposed pregnancy
alcoholic extract,zaburzenia używania substancji i uzależnienia,topic_family_aggregation,high,1,1,alcoholic extract
alkohol withdrawal zespół,zaburzenia używania substancji i uzależnienia,topic_family_aggregation,high,1,1,alcohol withdrawal syndrome
behavioral addictions,zaburzenia używania substancji i uzależnienia,topic_family_aggregation,high,1,1,behavioral addictions
co-uzależnienie,zaburzenia używania substancji i uzależnienia,topic_family_aggregation,high,1,1,co-dependence
emotional abuse,zaburzenia używania substancji i uzależnienia,topic_family_aggregation,high,1,1,emotional abuse
fetal alkohol zespół,zaburzenia używania substancji i uzależnienia,topic_family_aggregation,high,1,1,Fetal Alcohol Syndrome
marijuana,zaburzenia używania substancji i uzależnienia,topic_family_aggregation,high,1,1,marijuana
withdrawal and nawrót profilaktyka leczenie,zaburzenia używania substancji i uzależnienia,topic_family_aggregation,high,1,1,withdrawal and relapse prevention treatment
hypomania check list-32,zaburzenie afektywne dwubiegunowe,topic_family_aggregation,high,1,1,Hypomania Check List-32
trichotillomania,zaburzenie afektywne dwubiegunowe,topic_family_aggregation,high,1,1,trichotillomania
zaburzenie obsesyjno-kompulsyjne,zaburzenie obsesyjno-kompulsyjne i pokrewne,topic_family_aggregation,high,10,10,OCD | Obsessive-compulsive disorder | compulsive sexual behavior disorders | emotional injury OCD | obsessive compulsive disorder | obsessive-compulsive disorder | obsessive-compulsive disorder (OCD)
OCRD,zaburzenie obsesyjno-kompulsyjne i pokrewne,topic_family_aggregation,high,1,1,OCRDs
affirming compulsions,zaburzenie obsesyjno-kompulsyjne i pokrewne,topic_family_aggregation,high,1,1,affirming compulsions
compulsory leczenie / compulsory order,zaburzenie obsesyjno-kompulsyjne i pokrewne,topic_family_aggregation,high,1,1,compulsory treatment/compulsory order
węchowy obsesje,zaburzenie obsesyjno-kompulsyjne i pokrewne,topic_family_aggregation,high,1,1,olfactory obsessions
22q11.2 deletion zespół,22q11.2 deletion zespół,unchanged,low,1,1,22q11.2 deletion syndrome
BRCA1,BRCA1,unchanged,low,2,2,BRCA1
OAB,OAB,unchanged,low,1,1,OAB
PMR,PMR,unchanged,low,1,1,PMR
aa,aa,unchanged,low,1,1,aa
acceptance,acceptance,unchanged,low,1,1,acceptance
acl,acl,unchanged,low,1,1,ACL
activity,activity,unchanged,low,1,1,activity
aerobic ćwiczenia,aerobic ćwiczenia,unchanged,low,1,1,aerobic exercise
aids,aids,unchanged,low,1,1,AIDS
aktywność fizyczna,aktywność fizyczna,unchanged,low,2,2,physical activity
allience,allience,unchanged,low,1,1,Allience
alter ego,alter ego,unchanged,low,1,1,alter ego
amnesia,amnesia,unchanged,low,1,1,Amnesia
anesthesia,anesthesia,unchanged,low,1,1,Anesthesia
anomia,anomia,unchanged,low,1,1,anomia
anti-semitism,anti-semitism,unchanged,low,1,1,anti-Semitism
antioxidants,antioxidants,unchanged,low,1,1,antioxidants
apoliprotein e,apoliprotein e,unchanged,low,1,1,apoliprotein E
appearance orientation,appearance orientation,unchanged,low,1,1,appearance orientation
applicants,applicants,unchanged,low,1,1,Applicants
archetype,archetype,unchanged,low,1,1,archetype
argentine tango,argentine tango,unchanged,low,1,1,Argentine tango
arnold chiari malformation,arnold chiari malformation,unchanged,low,1,1,Arnold chiari malformation
arrival,arrival,unchanged,low,1,1,arrival
arterial stiffness,arterial stiffness,unchanged,low,1,1,arterial stiffness
assertiveness,assertiveness,unchanged,low,1,1,assertiveness
association,association,unchanged,low,1,1,association
athletic ideal,athletic ideal,unchanged,low,1,1,athletic ideal
atos,atos,unchanged,low,1,1,ATOS
audit,audit,unchanged,low,1,1,audit
auto-amputation,auto-amputation,unchanged,low,1,1,auto-amputation
autocreation,autocreation,unchanged,low,1,1,autocreation
automatic action,automatic action,unchanged,low,1,1,automatic action
automatic thought,automatic thought,unchanged,low,1,1,automatic thought
autonomous motivation,autonomous motivation,unchanged,low,1,1,autonomous motivation
behaviorism,behaviorism,unchanged,low,1,1,behaviorism
bentus,bentus,unchanged,low,1,1,Bentus
bert hellinger,bert hellinger,unchanged,low,1,1,Bert Hellinger
białko prionowe,białko prionowe,unchanged,low,1,1,prion protein
bierność,bierność,unchanged,low,1,1,passivity
biid,biid,unchanged,low,1,1,BIID
binging,binging,unchanged,low,1,1,binging
bioactive compounds,bioactive compounds,unchanged,low,1,1,bioactive compounds
bioethics,bioethics,unchanged,low,1,1,bioethics
biographical narration,biographical narration,unchanged,low,1,1,biographical narration
biography,biography,unchanged,low,1,1,biography
bion's theory,bion's theory,unchanged,low,1,1,Bion's theory
birding,birding,unchanged,low,1,1,birding
bisexuality,bisexuality,unchanged,low,1,1,bisexuality
bleeding,bleeding,unchanged,low,1,1,bleeding
blindness,blindness,unchanged,low,1,1,blindness
blood,blood,unchanged,low,1,1,blood
bowen's theory,bowen's theory,unchanged,low,1,1,Bowen’s theory
brca2,brca2,unchanged,low,1,1,BRCA2
break up,break up,unchanged,low,1,1,Break up
breast reduction surgery,breast reduction surgery,unchanged,low,1,1,Breast reduction surgery
breath-holding,breath-holding,unchanged,low,1,1,Breath-holding
bulling,bulling,unchanged,low,1,1,bulling
buprenorphine,buprenorphine,unchanged,low,1,1,buprenorphine
burden,burden,unchanged,low,1,1,burden
capacity,capacity,unchanged,low,1,1,capacity
car,car,unchanged,low,1,1,CAR
caregiver,caregiver,unchanged,low,1,1,caregiver
caregivers,caregivers,unchanged,low,1,1,caregivers
catatonia,catatonia,unchanged,low,1,1,catatonia
caudate nucleus,caudate nucleus,unchanged,low,1,1,caudate nucleus
cbcl score,cbcl score,unchanged,low,1,1,CBCL score
cechy fenotypowe,cechy fenotypowe,unchanged,low,1,1,phenotypic features
cechy instynktowe,cechy instynktowe,unchanged,low,1,1,instinctive traits
cechy patologiczne,cechy patologiczne,unchanged,low,1,1,Pathological traits
cerebellar,cerebellar,unchanged,low,1,1,cerebellar
cerebellum,cerebellum,unchanged,low,1,1,cerebellum
cerebral and cerebellar atrophy,cerebral and cerebellar atrophy,unchanged,low,1,1,cerebral and cerebellar atrophy
cftmea,cftmea,unchanged,low,1,1,CFTMEA
change,change,unchanged,low,1,1,change
chromosome 17,chromosome 17,unchanged,low,1,1,chromosome 17
chronically mentally ill,chronically mentally ill,unchanged,low,1,1,chronically mentally ill
cierpienie,cierpienie,unchanged,low,2,2,suffering
citalopram,citalopram,unchanged,low,1,1,citalopram
client challenges,client challenges,unchanged,low,1,1,client challenges
climate change,climate change,unchanged,low,1,1,climate change
cluster a,cluster a,unchanged,low,1,1,Cluster A
cluster b,cluster b,unchanged,low,1,1,cluster B
co2,co2,unchanged,low,1,1,CO2
codependency,codependency,unchanged,low,1,1,codependency
community,community,unchanged,low,1,1,community
community care,community care,unchanged,low,1,1,community care
comparative badania,comparative badania,unchanged,low,1,1,comparative studies
compassion,compassion,unchanged,low,1,1,compassion
compassion for others,compassion for others,unchanged,low,1,1,compassion for others
competence,competence,unchanged,low,1,1,Competence
concentration,concentration,unchanged,low,1,1,concentration
conditional release,conditional release,unchanged,low,1,1,conditional release
conduct zaburzenie,conduct zaburzenie,unchanged,low,1,1,Conduct Disorder
consent capacity,consent capacity,unchanged,low,1,1,consent capacity
containment measures,containment measures,unchanged,low,1,1,containment measures
control,control,unchanged,low,1,1,control
conversational artificial intelligence,conversational artificial intelligence,unchanged,low,1,1,conversational artificial intelligence
corpus callosum,corpus callosum,unchanged,low,1,1,corpus callosum
cotard zespół,cotard zespół,unchanged,low,1,1,Cotard syndrome
couples terapia,couples terapia,unchanged,low,1,1,couples therapy
course,course,unchanged,low,1,1,course
creative thinking,creative thinking,unchanged,low,1,1,creative thinking
creutzfeldt-jakob disease,creutzfeldt-jakob disease,unchanged,low,1,1,Creutzfeldt-Jakob disease
crohn's disease,crohn's disease,unchanged,low,1,1,Crohn’s Disease
cso,cso,unchanged,low,1,1,CSO
cyberchondria,cyberchondria,unchanged,low,1,1,Cyberchondria
